Sentences,Aspects,Aspects Sentiment
كانت بتدفع طريق فودافون كاش كنت هقلق ,,
 فكرة عملتها حابة اشاركها هنا فودافون اب عامل اوبشن انك تتبرع لكل المؤسسات اول جنيه فممكن كل يوم لحد اخر رمضان نختار مكان تتبرع بيه تبقى قسمتها لكذا مكان محتاج ,,
 كارت كل لحظه فودافون فليكس الموبايل شير كارتك كارتكللحظة رمضان كريم ,,
 ممكن توضيح اكتر مشكلة الشبكة بتواجهك كل الأماكن لا مكان محدد امتى والمشكلة رقمك فقط ولا ارقام فودافون نفس المكان ,,
 النظام توصيل بنات بولاد موجود بنات متعه فقط ودي مش بتاخد فلوس غرضها المتعه بس عشان الصداع الكتير متاح تحويل فودافون كاش ورصيد معني انك تكلمني يبقي تمشي ع نظامي اي حد هيرغي بلووك اي سؤال بلوك اي حد هيقولي كاش بلوك ,,
 الليبيناحياة عمرودياب كلمات ألحان عزيزالشافعي توزيع وسام عبد المنعم ميكس ماستر أمير محروس إعلان فودافون رمضان ,,
 حاجة مهزقة جدا انا معملتش معرفش ازاي النهاردة كل ما حد يتصل بيا يقولي ايه الاغنية اللي حطاها دي مش عارفة فودافون بتتطوع تحطلي اغاني ليه الاغنية انا رسمك خيالي اللي هو يا عم اتنيل ,,
 اخيرا حد هايبقي ليه كلمة ويتسمعله حوار خدمة العملاءانا واحد عملت تقييم لتحديث تطبيق خاص فودافون خدمة العملاء طبعا ماعجبهمش وحذفوا وبعتولي اعدله ,,
 ايون حاجات كتير فودافون كاش بتعمل الخدمة دي البنك الاهلي عنده كارت اسمه تشتري بيه ع النت ,,
 الارشيف كروت شحن مصرفون فودافون حاليا ,,
 خدمة فودافون كاش بتتعطل كتير جدا رحت الفرع بدري بيقولولي مافيش فلوس فروع بورفؤاد بورسعيد ,,
 منزل الكلام ده قبلك فودافون كانت ,,
 ياحرام طب ماتشوفي فودافون ,,
 اللي معاه فودافون يشحن الكارت ده يا شباب ,,
 كنت فودافون كنتي عرفتى الفرق ,,
 اللي بينا حياة عمرو دياب فودافون ,,
 تحويل بنكي حساب الشركه فودافون كاش الدفع فرع الشركه فرع الشركه الرئيسى القاهره شارع شريف الدور الرابع شقه فرع الغردقه الكوثر الجديد الدور الثانى شقه ,,
 كارت كل لحظه فودافون فليكس الموبايل شير كارتك كارتكللحظة رمضان كريم ,,
 انا فودافون ,,
 بيقولك المشكلة اللي حصلت شبكة فودافون اثرت ع خطوط كتير ظهر مشكلة انه ع الرغم ان معاك رصيد بس مبتعرفش تتصل بحد يقولك رصيد خلص وكل حلولهم للمشكلة بتفشل ف الاخر يقولك روح استبدل الشريحة بتاعتك مسخرة الله ,"خطوط،رصيد،مشكلة","0,-1,-1"
اللي عاوز شحنة فودافون ,,
 اللهم امين يااارب العالمين عندى ظروف صعبة وظروفى مش كويسة ومحتاج مساعدة لوجة اللة اجيب لبس لل الاولاد بس لوجة اللة حضرتك حبيتى تساعدينى لوجة اللة دة رقمى فودافون كاش منعا الاحراج مش اكتر ,ظروف,-1
جربوا كده يا جماعة فودافون كارت كل لحظة ببلاش رمضان كريم ,,
 إم إم جروب تعلن اكتتاب فودافون مصر شركتي ومصاري بنسبة ,,
 هو حد سالف فودافون ال جنيه ومات دا دين ولا حلال ,,
 يا ڤودافون انا شحنت رصيد انا فودافون جالى رساله البنك ان المبلغ اتخصم الموبايل مجاليش رصيد البرنامج قالى محاوله فاشله ومش مبين رصيد واول مره تحصل معايا بصراحه ,محاوله,-1
وانا اللي كنت بشتم فودافون حرامية النت عشان باقة ال جيجا بتخلص يوم اورانج غلبتها وباقة ال خلصت اسبوعين كبرنا الباقة وبقت اديها ايام وخلص جيجا بدون اي سبب منطقي وانا قاعدة اغلب الوقت لوحدي البيت بدون اي تحميل لحاجة ,فودافون,-1
فعلا كانت غلطه انى احول شركه محترمه زى وى واروح لشركه قذره وحرميه زى فودافون هيعتدل الخطاء دى بامر الله ,"شركه،شركه","1,-1"
اهلا بيك حضرتك بتشحن بيجيلك اضعاف الشحنه بعدها بتقدر تلعب العجله التطبيق انا فودافون بينزلك هدايا عدد المحاولات بتكون مرتبطه بعدد السنين اللي قضيتها معانا بحد اقصى شحنه واحده يوميا ,,
 فودافون عامله خاصيه تعدي تكلمي المساعد الشخصي زي كدا انا حاسه بي انهيار خلايا مخي بسبب الاستفزاززززززز ,,
 حوار الهدايا والشحنات بتاع فودافون اللي الارقام بتبعتها لبعض دي غريبه اوي ماسحين الرقم بتتبعت بردو ,الارقام بتبعتها لبعض,-1
سلام حد عاوز يشارك بأي مبلغ ف العشر الاواخر رمضان ونتشارك الثواب ونجيب جهاز منظار رئوي لقسم الصدر جامعة المنصورة بمبلغ الف ج ودا لأن وحدة المناظير تقريبا مافيش منظار شغال بقالهم فترة وبيكلف المريض برا حوالي ج ابعت ع رقم فودافون كاش ,,
 يا شباب هو شبكة فودافون القاهرة مشكلة هل الشبكة وقعت لإن الموبايلات الفودافون عندي فالبيت مش مجمعة شبكة خالص للأسف ,,
 الواتساب ماله نت فودافون ماله عندي انا بس ولا ان شاء الله كلنا ,,
 شركة فودافون مصر توقع اتفاقية شراكة مجموعة شركات العربي لدعم منظومة التحولالرقمي ,,
 اشتم وسدد ع فودافون كاش ,,
 أي حد معاه أي نوع هواتف سامسونج هو فودافون يطلب كود هينزلك وحدات حسب باقتك ,,
 هو أنا ليا أشتري شريحة فودافون بعد ما اشتريت واحده واتقفلت ع اسمي ,,
 فودافون ترفع حصتها بيي ومصاري ,,
 بأحذف ابلكيشن فودافون واغير الخط شركة تانية ,,
 واقفين خطي ارسال استقبال جنيه يا بتوع فودافون انتوا فعلا عديتوا قلة الذوق بمشاوير ,,
 ممكن توضيح اكتر مشكلة الشبكة بتواجهك كل الأماكن لا مكان محدد امتى والمشكلة رقمك فقط ولا ارقام فودافون نفس المكان ,,
 النظام توصيل بنات بولاد موجود بنات متعه فقط ودي مش بتاخد فلوس غرضها المتعه بس عشان الصداع الكتير متاح تحويل فودافون كاش ورصيد معني انك تكلمني يبقي تمشي ع نظامي اي حد هيرغي بلووك اي سؤال بلوك اي حد هيقولي كاش بلوك ,,
 كارت كل لحظه فودافون فليكس الموبايل شير كارتك كارتكللحظة رمضان كريم ,,
 ايوة انت فعلا مش مشترك بالنسبة غالبا الاشتراك ده نازلك باقة فهو معتبر فودافون مزود الخدمة بالنسبة بس المفروض محدش يعرف يدخل بعد ما تغير الباسوورد ممكن تتأكد ان مفيش ميل غريب مربوط بالحساب بيستخدمه الشخص ده الدخول مرة تانية ,,
 اعلان فودافون دة بيض ,اعلان فودافون,-1
بساعد الخير معايا مريض محتاج عمليه جراحه وظروف الماديه صعبه واي مبلغ بسيط بجد يفرق ممكن تساعد متتجاهلشي الخير المساعده طريق فودافون كاش حساب بنكي تفاصيل الحاله خاص ريتويت فضلا وصلها لغيرك ,"ظروف الماديه،مبلغ،الحاله","-1,0,-1"
امبلا السر عمرو دياب ولا غلطه وكأنها مو اعلان فودافون ع قد ما هي حلوة اوقات كمان ناصيف زيتون بتوزيعها الجديد ,,
 عفوا بس فهمي الناس ان علشان انتي عندك خط فاتوره وبتدفعي كل شهر الالاف فشركه فودافون بتعمل الخدمه ديه للعملاء اللي عندهم كارت وعندهم قسط شهري وبتتحمل قيمه التليفون فاتورتك عادي يعني مش بتشحتي اضطريتي تشتري بالقسط لسوء الاحوال الاقتصاديه فلوسكم كتير وكلها الخارج ,,
